latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.330204,-78.166275,477.0,-14400,America/New_York,GMT-4

time,precipitation (mm),temperature_2m (°C),relative_humidity_2m (%)
2025-09-30T00:00,0.00,9.0,62
2025-09-30T01:00,0.00,8.6,69
2025-09-30T02:00,0.00,8.4,67
2025-09-30T03:00,0.00,7.3,74
2025-09-30T04:00,0.00,6.5,77
2025-09-30T05:00,0.00,5.7,80
2025-09-30T06:00,0.00,4.7,81
2025-09-30T07:00,0.00,4.6,80
2025-09-30T08:00,0.00,5.7,83
2025-09-30T09:00,0.00,11.1,70
2025-09-30T10:00,0.00,14.4,52
2025-09-30T11:00,0.00,16.2,46
2025-09-30T12:00,0.00,16.3,48
2025-09-30T13:00,0.00,17.0,46
2025-09-30T14:00,0.00,17.6,41
2025-09-30T15:00,0.00,17.8,38
2025-09-30T16:00,0.00,17.7,32
2025-09-30T17:00,0.00,17.2,29
2025-09-30T18:00,0.00,15.7,30
2025-09-30T19:00,0.00,12.5,36
2025-09-30T20:00,0.00,10.5,43
2025-09-30T21:00,0.00,8.9,51
2025-09-30T22:00,0.00,7.9,57
2025-09-30T23:00,0.00,6.9,61
2025-10-01T00:00,0.00,6.0,64
2025-10-01T01:00,0.00,5.1,70
2025-10-01T02:00,0.00,4.4,74
2025-10-01T03:00,0.00,3.6,77
2025-10-01T04:00,0.00,3.0,80
2025-10-01T05:00,0.00,2.3,81
2025-10-01T06:00,0.00,1.7,80
2025-10-01T07:00,0.00,1.2,81
2025-10-01T08:00,0.00,1.6,87
2025-10-01T09:00,0.00,5.4,77
2025-10-01T10:00,0.00,7.1,69
2025-10-01T11:00,0.00,8.7,63
2025-10-01T12:00,0.00,10.2,56
2025-10-01T13:00,0.00,11.3,50
2025-10-01T14:00,0.00,12.3,46
2025-10-01T15:00,0.00,12.9,42
2025-10-01T16:00,0.00,13.2,39
2025-10-01T17:00,0.00,12.9,39
2025-10-01T18:00,0.00,12.1,40
2025-10-01T19:00,0.00,9.3,44
2025-10-01T20:00,0.00,7.4,49
2025-10-01T21:00,0.00,6.3,53
2025-10-01T22:00,0.00,5.2,56
2025-10-01T23:00,0.00,4.5,58
2025-10-02T00:00,0.00,3.9,59
2025-10-02T01:00,0.00,3.3,61
2025-10-02T02:00,0.00,3.0,62
2025-10-02T03:00,0.00,2.4,64
2025-10-02T04:00,0.00,2.0,68
2025-10-02T05:00,0.00,1.5,69
2025-10-02T06:00,0.00,1.3,71
2025-10-02T07:00,0.00,1.5,71
2025-10-02T08:00,0.00,1.8,72
2025-10-02T09:00,0.00,7.6,51
2025-10-02T10:00,0.00,10.4,42
2025-10-02T11:00,0.00,12.5,36
2025-10-02T12:00,0.00,13.7,33
